Star_name,RA(deg),DEC(deg),S/N,Teff(K),Teff_error(K),logg(cgs),logg_error(cgs),[Fe/H],[Fe/H]_error,microturbulent_vel(km/s),microturbulent_vel_err(km/s),macroturbulent_vel(km/s),macroturbulent_vel_err(km/s),vsini(km/s),vsini_err(km/s),Mass(Msun),Mass_err_upper(Msun),Mass_err_lower(Msun),Radius(Rsun),Radius_err_upper(Rsun),Radius_err_lower(Rsun),logL(Lsun),logL_err_upper(Lsun),logL_err_lower(Lsun),Age(Gyr),Age_err_upper(Gyr),Age_err_lower(Gyr),EEP,EEP_err_upper,EEP_err_lower,Prob_MS,Prob_RGB,Prob_HB
HD4737,12.23636469,-46.69764537,60,5244,50,3.196,0.111,0.07,0.043,1.281,0.052,3.641,0.416,5.995,0.427,2.58,0.025,0.028,8.41,0.157,0.148,1.68,0.01,0.011,0.56,0.011,0.01,525.34,1.94,2.09,0,1,0
HD4952,12.90132262,8.314075663,30,5109,86,2.957,0.181,-0.29,0.049,0.811,0.225,3.737,0.555,3.898,0.788,1.78,0.109,0.118,6.58,0.309,0.271,1.41,0.04,0.036,1.24,0.252,0.179,506.63,2.5,1.95,0,0.999,0.001
HD5676,14.55187941,-25.87659823,67,4663,54,2.725,0.127,-0.03,0.043,1.101,0.081,3.283,0.519,5.152,0.526,1.13,0.078,0.075,8.02,0.109,0.103,1.43,0.011,0.012,6.73,1.711,1.296,512.22,0.85,0.9,0,1,0
HD6019,15.41506839,7.3052741,56,5083,50,3.046,0.092,-0.46,0.047,1.07,0.056,3.515,0.428,4.329,0.461,1.45,0.091,0.099,6.15,0.129,0.115,1.35,0.018,0.018,2.18,0.55,0.366,505.98,0.97,1.23,0,1,0
HD6030,15.4286999,9.746026147,58,5073,50,2.943,0.092,-0.02,0.042,1.162,0.046,3.679,0.451,4.944,0.455,1.46,0.081,0.087,5.22,0.134,0.128,1.16,0.021,0.021,2.71,0.61,0.42,497.5,1.04,1.21,0,1,0
HD6254,15.81568546,-26.18011365,58,4886,50,2.882,0.097,-0.26,0.044,1.093,0.055,3.389,0.464,4.891,0.486,1.16,0.075,0.075,7.12,0.132,0.129,1.39,0.015,0.015,5.26,1.272,0.958,508.37,0.9,0.77,0,1,0
HD7039,17.53380449,-44.0768082,35,4913,55,2.986,0.137,-0.02,0.043,1.135,0.082,3.255,0.477,3.307,0.608,1.47,0.095,0.096,6,0.116,0.107,1.26,0.016,0.016,2.72,0.661,0.489,502.24,0.87,1.28,0,1,0
HD71464,126.8707961,-6.559946944,53,5503,50,3.03,0.127,0,0.048,1.466,0.057,4.734,0.333,6.187,0.396,2.5,0.041,0.039,8.08,0.225,0.237,1.69,0.025,0.024,0.59,0.023,0.023,519.59,2.63,2.7,0,1,0
HD71562,126.9807163,-6.033223701,40,5067,65,3.015,0.188,0.33,0.044,1.514,0.095,3.583,0.378,4.276,0.405,2.34,0.075,0.092,7.85,0.229,0.212,1.5,0.024,0.023,0.82,0.087,0.061,523.99,2.74,1.86,0,0.976,0.024
HD73070,128.9354586,-19.06903317,61,4966,50,3.157,0.095,0.05,0.042,1.12,0.054,3.056,0.404,4.942,0.416,1.56,0.073,0.078,6.14,0.096,0.091,1.27,0.012,0.012,2.32,0.4,0.296,501.87,1.28,1.55,0,1,0
HD7381,18.35066359,-32.82086005,29,4734,69,2.775,0.173,-0.01,0.044,1.238,0.096,3.307,0.557,3.367,0.66,1.4,0.099,0.096,8.83,0.177,0.169,1.53,0.016,0.016,3.27,0.848,0.626,515.3,0.8,0.9,0,1,0
HD745,2.948043686,9.13996278,58,5202,50,3.364,0.096,0.02,0.042,1.153,0.047,3.227,0.368,5.175,0.387,1.88,0.04,0.046,5.02,0.071,0.065,1.19,0.01,0.011,1.28,0.071,0.046,489.99,1.17,0.88,0,1,0
HD74686,131.3471689,0.1977896596,62,4757,57,2.622,0.138,0.06,0.043,1.158,0.083,3.622,0.553,5.245,0.563,1.52,0.122,0.12,8.1,0.348,0.317,1.47,0.029,0.028,2.56,0.807,0.566,511.76,1.71,2,0,1,0
HD74993,131.6114514,-26.62772172,61,5159,50,3.067,0.106,0.2,0.043,1.247,0.056,3.66,0.436,4.224,0.454,2.46,0.045,0.054,8.09,0.127,0.121,1.57,0.011,0.011,0.67,0.03,0.024,524.87,1.23,1.22,0,0.988,0.012
HD83674,144.7783503,-39.52963157,60,5082,53,3.276,0.124,0,0.043,1.025,0.08,3.097,0.41,4.169,0.427,1.93,0.05,0.06,6.15,0.067,0.067,1.34,0.012,0.01,1.16,0.092,0.053,498.62,1.23,0.87,0,1,0
HD84804,146.7789629,-25.24943481,62,4849,54,3.106,0.126,0.24,0.043,1.076,0.093,2.912,0.44,3.61,0.463,1.47,0.081,0.093,5.62,0.093,0.098,1.16,0.013,0.013,3.19,0.748,0.496,499.28,0.85,1.27,0,1,0
