Star_name,RA(deg),DEC(deg),S/N,Teff(K),Teff_error(K),logg(cgs),logg_error(cgs),[Fe/H],[Fe/H]_error,microturbulent_vel(km/s),microturbulent_vel_err(km/s),macroturbulent_vel(km/s),macroturbulent_vel_err(km/s),vsini(km/s),vsini_err(km/s),Mass(Msun),Mass_err_upper(Msun),Mass_err_lower(Msun),Radius(Rsun),Radius_err_upper(Rsun),Radius_err_lower(Rsun),logL(Lsun),logL_err_upper(Lsun),logL_err_lower(Lsun),Age(Gyr),Age_err_upper(Gyr),Age_err_lower(Gyr),EEP,EEP_err_upper,EEP_err_lower,Prob_MS,Prob_RGB,Prob_HB
CD-2613981,288.8574189,-25.89883252,32,4805,96,2.878,0.215,0.03,0.044,0.76,0.261,3.245,0.598,3.607,0.703,0.98,0.028,0.016,5.97,0.147,0.134,1.16,0.019,0.018,12.52,0.654,1.111,504.23,0.77,0.75,0,1,0
CD-2718,2.375016114,-26.96265662,37,5198,50,3.286,0.118,-0.07,0.045,1.077,0.075,3.36,0.404,3.794,0.475,1.92,0.035,0.05,5.79,0.149,0.145,1.31,0.025,0.021,1.13,0.071,0.032,497.47,1.51,1.43,0,1,0
CD-2816392,301.3870128,-28.10480969,34,4899,54,3.006,0.134,0.09,0.044,1.175,0.083,3.192,0.47,3.761,0.517,1.31,0.087,0.08,5.72,0.134,0.127,1.18,0.019,0.019,4.35,0.994,0.794,500.38,0.89,0.88,0,1,0
CD-3018265,313.7787531,-29.78147897,27,4948,76,2.971,0.172,0.15,0.045,1.138,0.131,3.353,0.528,3.586,0.619,2.09,0.043,0.04,8.55,0.38,0.575,1.52,0.054,0.052,1.11,0.046,0.061,530.39,113.05,8.82,0,0.648,0.352
CD-3018710,323.9414346,-30.18830156,29,4799,60,2.884,0.138,-0.16,0.045,1.116,0.087,3.224,0.499,3.233,0.695,1.37,0.045,0.013,6.95,0.098,0.116,1.34,0.01,0.014,3.68,0.124,0.405,507.52,0.47,0.73,0,1,0
CD-324787,120.9984402,-32.41936946,61,5209,50,3.231,0.09,-0.04,0.044,1.137,0.048,3.488,0.391,5.043,0.406,2.25,0.042,0.047,7.02,0.118,0.117,1.5,0.015,0.016,0.76,0.035,0.025,521.97,1.61,1.55,0,1,0
CD-329820,211.0793675,-33.33891239,54,4849,68,3.213,0.158,0.31,0.043,1.037,0.121,2.719,0.459,4.854,0.467,1.38,0.086,0.092,4.98,0.086,0.088,1.05,0.014,0.014,4.17,1.077,0.78,495.41,0.66,0.72,0,1,0
CD-331236,52.11918849,-32.75506445,26,4801,65,3.094,0.146,0.11,0.045,1.094,0.112,2.844,0.466,3.632,0.633,1.24,0.087,0.087,5.52,0.128,0.122,1.15,0.019,0.019,5.29,1.429,1.067,499.32,1.08,0.93,0,1,0
CD-339045,201.7033206,-33.867318,16,5026,111,3.295,0.265,0.12,0.057,1.44,0.253,2.985,0.442,3.822,0.69,1.43,0.112,0.13,5.71,0.136,0.123,1.19,0.02,0.02,3.21,1.235,0.674,500.17,1.04,1.19,0,1,0
CD-361284,51.23095297,-36.21139954,36,5097,55,3.082,0.137,0.06,0.043,1.144,0.081,3.482,0.462,4.334,0.499,2.44,0.047,0.052,8,0.159,0.159,1.59,0.018,0.016,0.65,0.03,0.024,525.85,1.33,1.29,0,0.999,0.001
CD-3613943,302.8165186,-36.36561804,35,4954,59,3.105,0.136,0.16,0.044,1.138,0.088,3.124,0.455,3.556,0.536,1.73,0.109,0.117,6.5,0.211,0.198,1.32,0.028,0.028,1.75,0.418,0.262,500.67,2.08,2.02,0,1,0
CD-371312,52.3537262,-37.01171468,38,4786,63,2.357,0.163,0.07,0.043,1.327,0.089,4.153,0.635,4.111,0.743,1.36,0.094,0.093,9.2,0.203,0.208,1.54,0.018,0.02,3.73,0.957,0.718,516.31,1.01,0.96,0,1,0
CD-3913785,306.3828923,-39.52848545,38,4798,71,2.365,0.181,0.16,0.043,1.323,0.104,4.16,0.653,3.885,0.676,0.96,0.062,0.031,10.7,0.264,0.114,1.66,0.019,0.008,11.88,1.245,2.176,663.03,2.85,3,0,0.001,0.999
CD-397574,184.9359372,-40.40473564,61,5269,50,3.238,0.103,0.04,0.045,1.327,0.047,3.631,0.401,6.307,0.436,2.48,0.041,0.047,7.98,0.216,0.217,1.61,0.022,0.023,0.61,0.023,0.021,525.15,1.59,1.68,0,1,0
CD-431047,50.60228795,-43.52620726,32,5147,68,3.383,0.164,-0.04,0.045,1.082,0.103,3.056,0.45,3.05,0.693,1.63,0.08,0.089,4.82,0.168,0.156,1.13,0.029,0.028,1.87,0.339,0.231,492.51,1.8,1.78,0,1,0
CD-452254,89.59204224,-45.21531653,39,4859,55,3.079,0.128,0.08,0.043,1.067,0.084,2.982,0.448,3.372,0.594,1.34,0.092,0.093,5.43,0.089,0.081,1.15,0.013,0.013,3.95,1.05,0.75,498.73,0.66,0.69,0,1,0
CD-5012869,303.491947,-50.46594092,38,4752,86,2.846,0.207,0.24,0.045,1.342,0.125,3.259,0.415,4.248,0.44,1.38,0.142,0.128,7.77,0.623,0.543,1.39,0.068,0.063,4.05,1.597,1.131,509.97,2.38,2.26,0,0.999,0.001
CD-5112230,296.5969745,-51.3210936,39,5103,56,3.403,0.126,-0.15,0.044,0.926,0.092,2.917,0.392,3.285,0.552,1.28,0.177,0.169,3.41,0.662,0.548,0.84,0.154,0.155,3.81,2.457,1.352,483.08,5.86,5.5,0,1,0
CD-529252,297.2862486,-52.07867029,36,4961,54,3.119,0.118,-0.4,0.046,1.005,0.079,3.113,0.432,3.328,0.625,1,0.068,0.065,5.24,0.119,0.114,1.16,0.019,0.019,8.05,2.067,1.595,499.47,1.1,1.02,0,1,0
CD-581114,79.00863518,-58.5079562,35,4930,67,2.961,0.172,0.05,0.044,1.2,0.1,3.335,0.523,5.012,0.539,1.52,0.089,0.086,5.45,0.086,0.089,1.19,0.013,0.013,2.49,0.508,0.414,498.24,1.23,1.82,0,1,0
CD-662575,341.0176279,-66.22577544,40,4942,55,2.905,0.138,-0.05,0.044,1.247,0.07,3.461,0.496,4.442,0.571,2.07,0.035,0.029,8.36,0.194,0.36,1.58,0.021,0.043,1.01,0.076,0.048,643.07,1.58,110.85,0,0.259,0.741
CD-66436,102.8824492,-67.12394059,40,4875,85,3.125,0.195,-0.09,0.043,0.692,0.214,2.929,0.528,4.344,0.577,1.15,0.112,0.099,4.89,0.092,0.084,1.08,0.017,0.018,5.98,2.176,1.646,496,1.37,1.16,0,1,0
CD-711504,282.0428396,-71.51337432,26,5024,193,2.771,0.204,-0.33,0.077,0.981,0.312,3.879,0.509,5.616,0.736,0.93,0.048,0.025,6.69,0.127,0.122,1.3,0.015,0.014,12.04,1.034,1.765,508.51,0.76,0.85,0,1,0
CD-75996,267.3691665,-75.58284501,29,5074,69,3.246,0.173,0.19,0.044,1.155,0.107,3.133,0.481,4.932,0.528,1.53,0.08,0.08,5.79,0.136,0.132,1.2,0.019,0.019,2.68,0.498,0.38,499.76,1.28,1.61,0,1,0
CD-79305,120.1783688,-79.86074322,35,5148,73,3.104,0.167,-0.13,0.044,0.91,0.124,3.565,0.505,4.451,0.594,1.97,0.103,0.172,6.84,0.161,0.15,1.44,0.021,0.027,1.04,0.285,0.133,509.51,12.96,4.41,0,1,0
CD-81204,93.45186492,-81.2896521,36,5129,52,3.186,0.127,-0.22,0.045,1.125,0.07,3.37,0.431,3.321,0.534,1.43,0.083,0.085,5.15,0.104,0.1,1.18,0.017,0.017,2.57,0.562,0.409,497.8,0.86,0.93,0,1,0
CPD-5011378,307.7883072,-50.1328283,40,4858,66,3.011,0.153,0.29,0.044,1.058,0.123,3.101,0.491,3.192,0.622,1.59,0.083,0.09,6.23,0.132,0.133,1.25,0.018,0.019,2.54,0.53,0.377,501.23,1.48,1.72,0,1,0
HD1000,3.586663756,-21.19696294,38,6763,175,4.254,0.218,0.11,0.118,1.469,0.1,7.746,1.036,8.983,1.605,1.39,0.035,0.035,1.82,0.018,0.018,0.7,0.009,0.013,2.48,0.227,0.236,375.15,6.91,8.21,1,0,0
HD100409,173.1946938,-52.14571391,62,5063,50,3.097,0.123,0.24,0.044,1.268,0.068,3.376,0.443,5.66,0.452,2.64,0.067,0.371,9,0.149,0.146,1.66,0.025,0.021,0.56,0.332,0.03,528.34,129.25,1.96,0,0.686,0.314
HD101744,175.6261859,-12.18312688,61,4964,50,3.046,0.129,-0.09,0.042,1.168,0.062,3.252,0.456,4.911,0.467,1.56,0.083,0.087,6.68,0.133,0.129,1.36,0.016,0.017,2.1,0.407,0.303,505.62,1.11,1.33,0,1,0
HD102216,176.4433428,-31.97902864,61,5140,50,3.097,0.114,0.14,0.042,1.264,0.054,3.559,0.436,4.066,0.46,2.41,0.049,0.061,7.73,0.183,0.186,1.54,0.02,0.021,0.7,0.042,0.029,523.49,1.46,1.48,0,0.999,0.001
HD10268,24.92289597,-37.47341448,69,4700,71,3.006,0.16,0.39,0.044,1.175,0.116,2.882,0.351,5.359,0.354,1.68,0.089,0.09,8.13,0.115,0.119,1.43,0.01,0.01,2.23,0.44,0.325,508.73,1.55,1.9,0,1,0
HD102805,177.4950268,-57.53697048,61,5168,50,3.138,0.095,0.1,0.043,1.222,0.048,3.552,0.413,5.467,0.422,2.4,0.042,0.049,7.62,0.137,0.137,1.54,0.016,0.017,0.69,0.032,0.022,523.13,1.27,1.32,0,1,0
HD103433,178.6462422,-9.715617017,60,3631,300,2.538,0.6,-0.96,0.151,1.23,0.1,2.906,1.203,3.389,3.44,0.89,0.079,0.044,8.67,0.168,0.165,1.55,0.016,0.015,10.79,1.819,2.606,517.83,1.12,1.44,0,1,0
HD107045,184.6541581,-39.41840162,61,5157,50,2.929,0.094,-0.04,0.043,1.258,0.042,3.903,0.457,5.222,0.466,2.26,0.084,0.1,9.3,0.203,0.242,1.7,0.018,0.021,0.8,0.154,0.095,662.5,4.75,4.2,0,0.078,0.922
HD108047,186.2585904,-37.35532993,58,5113,50,3.19,0.1,-0.19,0.044,0.839,0.08,3.324,0.404,5.275,0.424,1.71,0.105,0.103,5.52,0.096,0.097,1.26,0.018,0.017,1.49,0.284,0.219,498.24,1.37,1.32,0,1,0
HD112521,194.402783,-32.30035605,61,5217,50,3.118,0.096,-0.01,0.043,1.358,0.04,3.713,0.419,5.561,0.428,2.14,0.206,0.066,8.48,0.235,0.313,1.61,0.026,0.023,0.92,0.094,0.226,646.31,6.82,117.4,0,0.308,0.692
HD114430,197.6324798,-10.8146452,60,5158,50,2.895,0.108,-0.04,0.043,1.342,0.045,3.969,0.475,4.397,0.506,2.23,0.07,0.088,9.22,0.154,0.159,1.69,0.015,0.016,0.84,0.138,0.09,661.37,4.24,3.08,0,0.009,0.991
HD115541,199.4847488,-14.07184042,58,5217,50,3.366,0.109,-0.15,0.044,0.809,0.089,3.265,0.38,5.075,0.402,1.73,0.049,0.065,4.94,0.099,0.096,1.18,0.017,0.017,1.46,0.144,0.09,493.25,1.27,1.22,0,1,0
HD11664,28.46144149,-30.30220704,44,4940,50,2.751,0.143,-0.03,0.043,1.452,0.061,3.737,0.531,4.454,0.55,2.03,0.131,0.032,8.98,0.21,0.192,1.63,0.016,0.017,1.12,0.045,0.189,646.26,8.18,7.64,0,0.028,0.972
HD116845,201.6817999,-22.29821258,67,5314,50,3.108,0.093,0.01,0.044,1.348,0.041,3.991,0.422,4.883,0.435,2.6,0.037,0.039,8.84,0.165,0.167,1.71,0.015,0.016,0.53,0.013,0.013,528.86,1.53,1.63,0,1,0
HD116948,202.089619,-59.53246153,61,5177,50,3.069,0.093,0.05,0.043,1.359,0.039,3.701,0.427,4.142,0.472,2.42,0.064,0.305,8.33,0.182,0.147,1.61,0.01,0.009,0.65,0.332,0.031,528.63,118.28,1.61,0,0.711,0.289
HD118601,204.6691771,-41.61977304,62,4940,72,3.385,0.152,0.29,0.044,0.924,0.139,2.587,0.428,4.736,0.464,1.39,0.17,0.171,3.49,0.744,0.605,0.79,0.167,0.162,3.93,2.366,1.278,482.97,5.23,5.64,0,0.999,0.001
HD119483,206.0618181,-36.55947878,62,5073,50,2.95,0.115,0.11,0.042,1.253,0.055,3.666,0.467,5.306,0.475,2.31,0.186,0.174,9.45,0.999,0.876,1.69,0.091,0.087,0.82,0.213,0.17,661.81,9.12,16.93,0,0.14,0.86
HD120,1.495564737,-54.64060105,37,4999,68,2.842,0.159,-0.32,0.045,1.026,0.106,3.696,0.536,3.686,0.584,1.38,0.104,0.103,6.68,0.146,0.14,1.38,0.019,0.018,2.74,0.787,0.552,507.28,1.03,1.14,0,1,0
HD120144,207.1655526,-46.97371719,65,4996,52,3.138,0.131,0.23,0.044,1.26,0.077,3.153,0.441,4.959,0.456,2.42,0.061,0.069,7.94,0.118,0.114,1.54,0.014,0.014,0.71,0.052,0.038,523.94,1.46,1.29,0,1,0
HD120301,207.233039,-17.46686123,14,5263,115,3.06,0.313,0.03,0.064,1.742,0.348,3.988,0.527,3.664,0.968,1.83,0.105,0.121,7.05,0.194,0.176,1.42,0.022,0.023,1.37,0.279,0.173,504.14,2.05,1.61,0,1,0
HD122568,210.9117723,-39.26822815,61,5123,50,3.037,0.105,0.05,0.043,1.239,0.051,3.625,0.441,3.721,0.492,2.38,0.06,0.098,7.92,0.203,0.165,1.57,0.018,0.021,0.68,0.071,0.036,526.08,2.12,1.48,0,0.933,0.067
HD122602,210.6408456,19.13707939,61,4844,50,2.777,0.112,-0.4,0.043,1.182,0.05,3.499,0.498,4.651,0.522,1.04,0.068,0.065,8.23,0.134,0.135,1.5,0.013,0.014,6.94,1.625,1.298,514.08,0.81,0.78,0,1,0
HD124461,213.5484817,-17.46347112,69,5103,50,3.08,0.098,0.02,0.042,1.238,0.044,3.5,0.426,4.014,0.448,1.99,0.118,0.091,7.78,0.185,0.167,1.5,0.015,0.016,1.1,0.122,0.148,510.15,20.76,3.28,0,1,0
HD131900,224.2027423,-20.48998663,44,5536,55,4.317,0.119,0.19,0.045,0.711,0.126,2.458,0.298,4.668,0.347,0.98,0.023,0.026,0.96,0.009,0.009,-0.11,0.008,0.01,4.57,1.859,1.592,347.7,13.76,11.64,1,0,0
HD136350,230.4662226,-44.72395297,60,5160,50,3.093,0.122,-0.05,0.043,1.319,0.052,3.613,0.444,5.202,0.468,2.35,0.061,0.149,7.95,0.282,0.217,1.59,0.021,0.024,0.67,0.111,0.037,527.73,3.33,1.9,0,0.863,0.137
HD148035,246.3301496,1.218724123,60,4989,50,2.997,0.107,-0.03,0.042,0.96,0.075,3.393,0.448,4,0.458,1.57,0.075,0.087,6.54,0.14,0.132,1.34,0.017,0.017,2.17,0.41,0.292,504.4,1.25,1.35,0,1,0
HD149649,250.3458956,-68.75966514,61,5163,50,2.933,0.109,0,0.043,1.267,0.048,3.913,0.467,5.571,0.478,2.1,0.045,0.047,8.55,0.126,0.083,1.61,0.014,0.01,0.99,0.077,0.079,648.49,3.33,3.1,0,0.014,0.986
HD151220,251.486148,2.777028791,34,4741,72,2.667,0.174,0.22,0.044,1.266,0.115,3.563,0.411,3.964,0.458,0.97,0.023,0.021,10.8,0.061,0.035,1.64,0.005,0.005,12.66,0.666,0.849,664.46,1.46,4.25,0,0.003,0.997
HD155046,257.2701949,4.614927817,61,5035,81,2.848,0.178,-0.09,0.043,0.54,0.245,3.765,0.565,4.279,0.576,1.6,0.094,0.107,8.07,0.137,0.137,1.5,0.015,0.015,1.97,0.482,0.304,512.07,1.1,1.29,0,1,0
HD157527,261.175118,-21.44148279,62,5122,52,2.989,0.132,0.15,0.044,1.305,0.068,3.711,0.475,5.703,0.493,2.61,0.07,0.276,9.28,0.439,0.48,1.7,0.02,0.02,0.55,0.262,0.031,530.81,136.6,4.13,0,0.56,0.44
HD162157,268.9637311,-70.53123748,61,5115,50,3.014,0.103,0.01,0.043,1.237,0.05,3.648,0.444,5.198,0.453,2.23,0.085,0.166,8.03,0.24,0.167,1.57,0.014,0.017,0.79,0.208,0.062,529.3,114.63,2.28,0,0.696,0.304
HD162984,269.0132861,-44.71487972,61,5179,50,3.182,0.097,0.07,0.043,1.215,0.049,3.502,0.405,5.171,0.416,2.29,0.05,0.061,7.46,0.116,0.116,1.51,0.012,0.013,0.76,0.043,0.032,523.69,1.69,1.28,0,1,0
HD16665,40.16910827,15.68659395,61,4696,56,3.008,0.131,0.2,0.044,1.054,0.1,2.823,0.462,5.012,0.466,1.25,0.107,0.11,5.63,0.069,0.07,1.14,0.016,0.016,5.62,2.13,1.385,499.87,1.21,0.65,0,1,0
HD167108,273.4307213,0.6852641519,61,5091,50,2.964,0.104,0.02,0.043,1.286,0.049,3.681,0.455,5.456,0.476,2.09,0.053,0.036,8.44,0.104,0.125,1.6,0.014,0.015,1,0.058,0.078,645.05,3.31,1.73,0,0.104,0.896
HD167768,274.2212542,-3.007402014,61,5140,50,2.983,0.118,-0.58,0.055,1.691,0.063,3.764,0.464,4.839,0.523,1.97,0.07,0.065,8.7,0.166,0.148,1.7,0.017,0.018,0.92,0.074,0.096,646.38,8.81,8.6,0,0.05,0.95
HD167936,275.1158128,-53.73030089,57,5121,57,2.823,0.126,-0.1,0.043,0.342,0.235,4.009,0.508,5.701,0.519,2.24,0.116,0.114,9.38,0.523,0.428,1.72,0.048,0.043,0.8,0.149,0.118,665.97,3.84,8.76,0,0.022,0.978
HD168839,275.9031262,-38.85346775,68,5099,50,3.081,0.097,0.2,0.043,1.269,0.05,3.489,0.425,5.52,0.431,2.51,0.064,0.335,8.66,0.152,0.143,1.62,0.013,0.013,0.63,0.349,0.03,528.07,122.38,1.56,0,0.71,0.29
HD170105,277.5825923,-49.66733699,62,5062,50,3.015,0.1,0.04,0.042,1.28,0.044,3.524,0.44,5.779,0.449,2.12,0.049,0.071,8.61,0.159,0.123,1.6,0.012,0.013,1.03,0.093,0.096,646.59,4.93,2.99,0,0.008,0.992
HD171864,279.8145892,-46.48607313,71,5036,50,2.932,0.103,0.14,0.042,1.238,0.052,3.614,0.46,3.865,0.474,2.54,0.043,0.047,8.48,0.118,0.111,1.63,0.012,0.012,0.6,0.023,0.019,527.14,1.16,1.22,0,0.984,0.016
HD172039,280.1969943,-52.55920334,49,5116,50,3.097,0.12,0.05,0.043,1.375,0.05,3.5,0.441,5.349,0.455,1.94,0.151,0.072,6.94,0.177,0.168,1.41,0.023,0.021,1.18,0.116,0.194,502.76,21.21,1.31,0,1,0
HD172642,280.8092738,-41.85281573,28,4922,65,2.95,0.152,0.16,0.044,1.025,0.12,3.338,0.504,4.469,0.635,1.56,0.094,0.094,6.48,0.21,0.213,1.3,0.028,0.027,2.48,0.564,0.399,503.37,1.52,1.75,0,1,0
HD176771,286.5008607,-63.01471719,61,5204,50,3.128,0.123,0.04,0.043,1.29,0.058,3.66,0.439,5.638,0.461,2.48,0.041,0.055,8.29,0.135,0.124,1.62,0.013,0.014,0.61,0.027,0.018,527.69,1.37,1.26,0,0.967,0.033
HD176830,285.6655676,-13.82425653,34,5024,53,2.56,0.135,-0.26,0.045,1.282,0.061,4.26,0.568,4.711,0.6,0.89,0.01,0.007,10.35,0.067,0.053,1.66,0.005,0.004,13.23,0.198,0.395,658.89,1.71,3.58,0,0.007,0.993
HD177057,286.1917474,-38.83738225,29,5109,68,3.021,0.165,0.15,0.044,1.27,0.091,3.623,0.512,4.532,0.547,2.12,0.046,0.038,8.49,0.16,0.356,1.57,0.016,0.036,1.05,0.066,0.076,644.06,2.84,111.7,0,0.195,0.805
HD177668,287.253988,-57.2882697,40,4518,110,4.128,0.268,0.36,0.044,1.23,0.1,0.538,0.523,4.366,0.531,2.46,0.036,0.032,2.05,0.049,0.036,1.47,0.024,0.02,0.03,0.024,0.013,260.98,20.03,18.27,1,0,0
HD179120,288.7738209,-61.44052484,61,5147,50,3.189,0.107,0.17,0.043,1.234,0.054,3.408,0.412,3.905,0.465,2.43,0.053,0.061,7.96,0.182,0.183,1.56,0.018,0.02,0.69,0.038,0.031,524.54,1.42,1.42,0,0.993,0.007
HD181405,290.8978911,-57.332698,32,4939,58,2.862,0.168,0.09,0.045,1.6,0.081,3.534,0.535,4.691,0.567,2.08,0.038,0.028,8.24,0.294,0.295,1.5,0.029,0.025,1.1,0.026,0.057,524.72,6.75,5.57,0,0.927,0.073
HD182393,291.5745956,-41.88890275,40,4975,51,3.012,0.127,-0.1,0.043,1.136,0.067,3.336,0.462,3.056,0.617,1.75,0.108,0.114,7.69,0.279,0.257,1.49,0.031,0.029,1.47,0.326,0.217,509.49,1.52,1.65,0,0.997,0.003
HD18278,43.09187862,-67.30711668,76,4638,89,2.982,0.199,0.43,0.044,1.079,0.172,2.829,0.389,5.364,0.393,1.28,0.081,0.071,6.06,0.072,0.074,1.16,0.01,0.01,5.82,1.305,1.127,501.83,0.77,0.55,0,1,0
HD183249,292.7703286,-49.28939152,56,4794,50,2.861,0.127,0.09,0.043,1.264,0.067,3.255,0.49,4.838,0.498,1.16,0.073,0.076,6.17,0.165,0.156,1.22,0.022,0.022,6.8,1.673,1.209,503.67,1.04,1.09,0,1,0
HD18416,44.10051598,-36.01588597,26,4907,65,2.918,0.153,-0.17,0.046,1.138,0.099,3.367,0.51,3.687,0.711,1.36,0.094,0.092,7.73,0.173,0.174,1.46,0.019,0.02,3.24,0.812,0.6,511.39,0.96,1.02,0,1,0
HD185051,295.4506466,-65.29597685,62,4942,51,3.189,0.116,0.16,0.043,0.95,0.095,2.946,0.415,4.886,0.418,1.6,0.088,0.095,5.2,0.119,0.118,1.14,0.021,0.021,2.26,0.495,0.337,494.99,1.79,1.9,0,1,0
HD185452,295.3383987,-48.04818459,38,4766,55,2.914,0.147,-0.01,0.042,1.274,0.071,3.11,0.498,2.805,0.652,1.16,0.266,0.158,5.91,1.452,1.023,1.21,0.195,0.158,6.1,4.221,3.093,502.43,6.54,5.3,0,0.969,0.031
HD185490,295.004496,-17.4620716,60,5109,50,3.168,0.117,-0.22,0.043,1.094,0.058,3.356,0.423,4.862,0.442,1.15,0.072,0.07,4.88,0.15,0.145,1.1,0.025,0.027,5.37,1.229,0.931,495.68,1.16,1.14,0,1,0
HD185544,296.7674098,-74.91021607,61,5216,50,3.236,0.101,0.15,0.042,1.168,0.054,3.497,0.399,5.443,0.409,2.08,0.079,0.056,5.98,0.151,0.144,1.33,0.018,0.018,1.04,0.081,0.101,509.62,5.24,10.86,0,1,0
HD186611,296.4585327,-10.88978353,41,5171,53,3.1,0.127,0.02,0.044,1.086,0.08,3.63,0.45,4.516,0.572,2.15,0.072,0.067,8.78,0.147,0.212,1.63,0.015,0.022,0.95,0.117,0.089,653.25,2.98,5.21,0,0.007,0.993
HD187562,298.1313342,-45.29483932,43,5065,51,2.664,0.137,-0.61,0.052,1.514,0.066,4.164,0.547,4.345,0.694,1.52,0.107,0.121,8.73,0.239,0.226,1.63,0.024,0.023,1.77,0.505,0.322,520.46,1.24,1.41,0,0.994,0.006
HD188476,299.1852155,-37.10656034,62,5013,51,2.976,0.125,0.17,0.043,1.24,0.07,3.482,0.468,5.103,0.48,2.31,0.077,0.097,7.85,0.129,0.124,1.53,0.015,0.015,0.78,0.09,0.056,525.49,2.83,1.76,0,0.997,0.003
HD188921,299.6604619,-30.92763291,33,5268,66,2.912,0.156,-0.05,0.045,1.091,0.095,4.219,0.528,5.25,0.622,2.1,0.261,0.049,8.4,0.187,0.238,1.61,0.02,0.018,0.95,0.068,0.28,645.24,5.07,115.9,0,0.28,0.72
HD189365,300.1495841,-28.58643998,60,5149,50,2.955,0.095,0,0.043,1.248,0.044,3.837,0.453,4.645,0.519,2.1,0.037,0.044,8.52,0.062,0.07,1.61,0.008,0.009,0.99,0.07,0.07,647.47,2.21,2.37,0,0.014,0.986
HD190122,301.6983464,-60.36082894,63,4944,63,2.934,0.155,0.21,0.043,1.233,0.091,3.413,0.509,4.302,0.543,2.2,0.104,0.102,8.08,0.337,0.182,1.53,0.034,0.018,0.91,0.161,0.099,529.2,114.31,3.6,0,0.787,0.213
HD190896,302.1364579,-36.28011249,27,4796,75,2.857,0.174,-0.02,0.045,1.085,0.127,3.266,0.545,3.703,0.629,1,0.058,0.044,5.51,0.096,0.09,1.13,0.014,0.014,10.55,1.741,1.777,501.51,0.75,0.77,0,1,0
HD191716,303.8376531,-64.81944286,68,5066,50,3.018,0.099,0.04,0.042,1.295,0.043,3.527,0.439,4.233,0.47,2.08,0.043,0.025,8.34,0.096,0.087,1.58,0.012,0.009,1,0.044,0.048,644.14,0.99,1.93,0,0.135,0.865
HD192232,303.616112,-18.09392064,59,4974,50,3.098,0.106,-0.3,0.043,0.981,0.066,3.177,0.425,3.27,0.472,0.91,0.033,0.02,5.21,0.063,0.066,1.12,0.008,0.009,12.24,0.882,1.329,500.62,0.57,0.68,0,1,0
HD193359,305.1159238,-19.54409599,61,4880,50,3.094,0.097,0.02,0.043,1.051,0.062,2.994,0.417,4.815,0.431,1.03,0.056,0.05,5.17,0.088,0.084,1.08,0.013,0.013,9.8,1.718,1.588,499.18,0.75,0.72,0,1,0
HD193407,305.6601328,-54.26370189,61,4965,50,2.943,0.127,-0.04,0.044,1.609,0.054,3.44,0.475,5.971,0.483,1.89,0.101,0.098,7.72,0.139,0.13,1.5,0.014,0.013,1.2,0.177,0.136,508.6,6.15,1.3,0,1,0
HD193937,306.0384268,-34.47484248,60,4934,50,3.131,0.1,-0.21,0.043,1.027,0.057,3.036,0.413,3.329,0.431,1.13,0.08,0.072,5.18,0.081,0.085,1.14,0.012,0.012,5.88,1.457,1.165,497.98,1.08,1.13,0,1,0
HD194536,307.3554081,-61.68402013,28,4975,69,3.101,0.176,-0.03,0.045,1.201,0.105,3.176,0.505,4.229,0.718,1.73,0.108,0.102,7.22,0.137,0.135,1.43,0.016,0.017,1.57,0.301,0.244,506.3,1.46,1.65,0,1,0
HD194898,307.3401634,-34.11131051,24,5170,59,2.896,0.163,0.12,0.047,1.457,0.088,3.996,0.53,4.282,0.847,2.16,0.276,0.06,8.62,0.226,0.16,1.61,0.022,0.016,0.96,0.103,0.306,648.58,6,119.7,0,0.218,0.782
HD195189,307.9958494,-50.18498133,62,5134,50,2.982,0.121,0.04,0.042,1.332,0.052,3.753,0.466,4.167,0.48,2.14,0.306,0.059,8.48,0.107,0.207,1.61,0.013,0.01,0.93,0.101,0.298,645.57,3.97,117.59,0,0.375,0.625
HD195326,307.5857609,9.376617816,66,4866,94,2.785,0.235,0.35,0.045,1.435,0.148,3.576,0.452,5.524,0.455,1.3,0.071,0.077,7.8,0.102,0.1,1.36,0.011,0.011,5.44,1.251,0.888,509.83,0.58,0.48,0,1,0
HD195899,308.6788148,-21.43544593,40,4921,53,2.949,0.131,-0.02,0.043,1.203,0.071,3.339,0.478,3.853,0.534,1.6,0.081,0.093,7.68,0.185,0.165,1.46,0.02,0.019,2.03,0.415,0.277,509.61,1.25,1.36,0,1,0
HD195980,308.9144322,-34.12865329,64,4654,57,2.77,0.14,0.18,0.043,1.238,0.084,3.188,0.521,5.147,0.532,1.41,0.084,0.087,8.76,0.123,0.123,1.49,0.012,0.012,3.64,0.838,0.59,514.23,0.6,0.65,0,1,0
HD196248,309.1077658,-9.854068329,32,5182,63,2.899,0.144,-0.03,0.046,0.986,0.115,4.021,0.514,4.566,0.592,2.16,0.115,0.082,8.75,0.357,0.297,1.64,0.037,0.031,0.91,0.113,0.131,653.88,6.43,8.55,0,0.11,0.89
HD196800,310.0930556,-24.11802791,44,5779,79,4.279,0.154,0.15,0.048,0.669,0.19,3.348,0.415,5.925,0.452,1.14,0.019,0.021,1.3,0.011,0.011,0.28,0.008,0.006,4.73,0.565,0.525,392.66,7.83,8.34,1,0,0
