Star,RA(deg),DEC(deg),JD-2450000,S/N,RV(km/s),RV_error(km/s),Max_ΔRV(km/s),RUWE,AEN(mas),Category
,,,9539.52,30,-9.257,0.005,,,,
,,,9737.90,63,-8.922,0.003,,,,
,,,9739.91,58,-8.897,0.003,,,,
,,,10140.68,38,-7.801,0.004,,,,
HD217614,345.6844518,-52.96534553,8650.79,60,-13.932,0.004,13.9,10.68,2.035,1
,,,9538.56,58,-24.688,0.004,,,,
,,,9737.92,60,-11.049,0.004,,,,
,,,9739.93,55,-10.764,0.004,,,,
,,,10140.82,39,-12.981,0.005,,,,
HD167936,275.1158128,-53.73030089,8651.70,46,-21.101,0.006,41.3,8.646,1.416,1
,,,9673.86,44,-37.331,0.006,,,,
,,,9737.79,57,1.288,0.006,,,,
,,,10140.65,57,3.970,0.007,,,,
HD101744,175.6261859,-12.18312688,9738.60,25,0.046,0.003,2.1,2.788,0.366,1
,,,10140.53,37,-2.094,0.004,,,,
,,,10142.49,61,-2.014,0.006,,,,
HD214941,340.561945,-34.2774123,8650.91,62,5.070,0.005,4.4,2.446,0.431,1
,,,9538.57,28,1.631,0.008,,,,
,,,9737.91,59,0.627,0.005,,,,
HD305357,159.411006,-60.04159471,8650.52,42,-0.737,0.006,4.3,2.447,0.457,1
,,,9673.58,53,3.540,0.004,,,,
,,,9737.58,60,0.042,0.005,,,,
HD74686,131.3471689,0.1977896596,9673.52,60,47.065,0.003,0.79,19.337,3.417,1
,,,9738.45,32,46.279,0.005,,,,
,,,9738.50,62,46.288,0.004,,,,
HD83674,144.7783503,-39.52963157,9538.84,57,-3.253,0.004,0.36,2.651,0.475,1
,,,9673.55,60,-3.017,0.004,,,,
,,,9738.52,60,-2.894,0.004,,,,
HD85885,148.5859703,-20.29180017,8650.55,42,27.063,0.006,7.8,1.872,0.243,1
,,,9673.56,58,26.865,0.005,,,,
,,,9738.53,58,34.680,0.005,,,,
HD92944,160.9034533,-25.08697158,9738.57,58,18.797,0.003,6.9,3.552,0.531,1
,,,10143.48,47,11.942,0.004,,,,
,,,10140.51,41,12.141,0.004,,,,
TYC5464-59-1,143.0490987,-10.8436264,9538.83,57,-1.186,0.004,3.4,5.437,0.894,1
,,,9673.54,59,-3.504,0.004,,,,
,,,9738.51,60,-4.587,0.004,,,,
*14SER,234.1404549,-0.5615310608,8650.69,69,-39.984,0.006,0.95,2.567,0.314,1
,,,9673.82,58,-39.029,0.007,,,,
*29PSC,0.4560338029,-3.027503283,8650.92,85,7,2,24.2,0.821,0.628,1
,,,10224.71,46,31,1,,,,
*PI.SCL,25.53595557,-32.32698755,9537.62,63,5.546,0.003,7.7,5.214,3.614,1
,,,10226.63,65,13.259,0.003,,,,
BD-025297,308.0742379,-2.07515004,10143.72,28,-4.476,0.004,0.02,3.255,0.464,1
,,,10143.83,10,-4.50,0.01,,,,
BD-103347,177.5479511,-11.5236501,9739.56,63,23.204,0.003,0.45,2.558,0.327,1
,,,10142.50,29,23.656,0.005,,,,
BD+003544,248.2643749,0.0754123436,9739.64,60,-6.853,0.003,17.6,5.921,0.82,1
,,,10140.58,42,-24.464,0.004,,,,
BD+003886,273.5194936,0.4065605011,9738.84,63,-32.587,0.003,0.09,3.225,0.5,1
,,,10225.53,31,-32.501,0.005,,,,
BD+023359,263.9031992,2.324258368,9738.80,62,-26.056,0.003,1.3,1.829,0.216,1
,,,10225.51,26,-24.729,0.006,,,,
BD+124422,310.0872668,12.56261542,10140.80,37,-61.772,0.004,0.55,1.515,0.227,1
,,,9739.86,64,-62.325,0.003,,,,
BD+154266A,312.2918533,15.7769062,9739.88,65,1.380,0.003,0.43,3.519,0.469,1
,,,10140.79,37,1.807,0.004,,,,
CD-329820,211.0793675,-33.33891239,9739.53,54,-0.311,0.003,12.98,2.094,0.277,1
,,,10140.56,44,12.667,0.004,,,,
CD-711504,282.0428396,-71.51337432,10143.67,26,22.15,0.01,58.7,1.786,0.198,1
,,,10225.55,23,80.85,0.01,,,,
CD-75996,267.3691665,-75.58284501,10143.65,29,6.208,0.005,0.10,1.546,0.158,1
,,,10225.50,29,6.311,0.005,,,,
HD103433,178.6462422,-9.715617017,9739.59,31,120.640,0.004,7.6,2.318,0.478,1
,,,10142.52,60,128.284,0.006,,,,
HD108047,186.2585904,-37.35532993,9738.64,37,-0.189,0.005,3.2,1.911,0.235,1
,,,10142.54,58,-3.438,0.006,,,,
HD122602,210.6408456,19.13707939,9739.58,29,-72.190,0.003,3.9,2.19,0.337,1
,,,10142.54,61,-68.323,0.005,,,,
HD167108,273.4307213,0.6852641519,9738.82,26,-57.576,0.003,0.36,4.008,0.76,1
,,,10225.49,61,-57.938,0.006,,,,
HD172039,280.1969943,-52.55920334,9738.86,49,-24.685,0.004,2.6,3.06,0.477,1
,,,10140.66,44,-27.331,0.004,,,,
HD172642,280.8092738,-41.85281573,10143.74,28,28.97,0.01,0.006,5.34,0.595,1
,,,10225.54,14,28.981,0.006,,,,
HD176830,285.6655676,-13.82425653,10143.71,25,-54.886,0.005,0.40,1.403,0.152,1
,,,10225.58,34,-55.289,0.006,,,,
HD177057,286.1917474,-38.83738225,10143.77,14,6.853,0.009,6.3,7.308,1.081,1
,,,10225.59,29,0.573,0.005,,,,
HD181405,290.8978911,-57.332698,10143.75,32,-36.085,0.008,2.7,3.312,0.416,1
,,,10225.65,19,-38.752,0.005,,,,
HD182393,291.5745956,-41.88890275,10226.50,40,-14.023,0.004,2.0,5.635,0.729,1
,,,10143.78,14,-16.055,0.009,,,,
HD18278,43.09187862,-67.30711668,9537.59,76,21.402,0.003,0.38,5.464,1.036,1
,,,10140.90,37,21.781,0.004,,,,
HD183249,292.7703286,-49.28939152,9738.89,56,-24.630,0.003,1.4,4.444,0.5,1
,,,10140.67,44,-26.000,0.004,,,,
HD185051,295.4506466,-65.29597685,9739.71,62,-50.742,0.003,6.4,6.96,0.796,1
,,,10140.78,43,-44.309,0.004,,,,
HD185452,295.3383987,-48.04818459,10143.79,34,2.827,0.004,7.9,4.55,0.484,1
,,,10226.53,38,10.766,0.004,,,,
HD185490,295.004496,-17.4620716,9739.68,38,-89.551,0.003,8.1,6.774,0.92,1
,,,10140.81,60,-97.615,0.005,,,,
HD186611,296.4585327,-10.88978353,10143.68,41,24.232,0.006,2.3,6.336,0.959,1
,,,10226.51,33,21.905,0.005,,,,
HD188921,299.6604619,-30.92763291,10143.83,20,-25.93,0.01,41.3,2.038,0.281,1
,,,10227.51,33,15.350,0.007,,,,
HD190122,301.6983464,-60.36082894,9738.92,63,7.207,0.003,3.6,5.245,0.999,1
,,,10140.73,62,3.648,0.003,,,,
HD193359,305.1159238,-19.54409599,9739.76,40,43.238,0.003,0.20,2.157,0.26,1
,,,10140.61,61,43.437,0.004,,,,
HD195326,307.5857609,9.376617816,9739.83,66,-45.899,0.003,13.0,2.887,0.458,1
,,,10140.73,38,-32.890,0.004,,,,
HD202714,319.6833461,-33.06813491,9739.84,38,5.251,0.003,1.3,1.461,0.209,1
,,,10140.64,60,6.599,0.004,,,,
HD21340,51.40204263,-27.2724895,9537.70,58,21.265,0.003,0.35,2.95,0.498,1
,,,10140.88,33,21.619,0.005,,,,
HD220864,352.0265553,-66.90888725,9538.62,60,2.166,0.003,0.57,3.578,0.633,1
,,,10140.84,38,1.597,0.004,,,,
HD2259,6.555890509,-39.64934357,9537.55,59,19.789,0.003,2.2,2.695,0.455,1
,,,10140.84,39,17.633,0.004,,,,
HD29821,70.49968485,4.483682635,9537.68,59,25.571,0.003,0.93,3.027,0.533,1
,,,10225.85,41,26.503,0.004,,,,
HD5676,14.55187941,-25.87659823,9537.63,67,83.026,0.003,2.2,2.104,0.32,1
,,,10140.85,35,80.847,0.004,,,,
HD6019,15.41506839,7.3052741,9537.57,34,-23.732,0.004,0.54,3.323,0.646,1
,,,10140.87,56,-23.188,0.005,,,,
HD6030,15.4286999,9.746026147,9537.58,34,-13.489,0.003,9.2,1.984,0.292,1
,,,10140.88,58,-22.646,0.005,,,,
HD6254,15.81568546,-26.18011365,9537.66,37,56.734,0.003,6.3,2.6,0.496,1
,,,10140.86,58,50.423,0.004,,,,
HD73070,128.9354586,-19.06903317,9739.47,41,7.149,0.003,0.50,2.452,0.265,1
,,,10226.88,61,6.645,0.004,,,,
HD95624,165.5158923,-9.860445374,9738.54,30,-80.716,0.003,8.98,5.923,1.165,1
,,,10143.48,59,-71.737,0.005,,,,
HD99005,170.8948873,-3.28941635,9738.58,62,1.793,0.003,2.5,3.129,0.491,1
,,,10143.49,17,4.335,0.008,,,,
HD99330,171.4541519,1.872325809,9738.55,38,-5.533,0.003,0.50,5.288,0.701,1
,,,10143.47,64,-6.037,0.004,,,,
TYC5312-953-1,63.4510105,-9.3526425,10224.87,30,-5.993,0.007,0.14,3.077,0.384,1
,,,10227.75,38,-5.858,0.006,,,,
BD-1119,2.768754866,-10.87786296,10224.69,28,-2.199,0.005,,4.458,0.422,1
BD-17922,69.61044358,-16.78218195,10224.83,35,43.396,0.004,,3.873,0.5,1
BD+003575,251.5130176,-0.0328430437,9738.76,63,7.324,0.003,,4.252,0.522,1
BD+02694,65.58962868,3.089162607,10224.85,36,58.550,0.005,,3.605,0.511,1
BD+05136,15.4406984,6.755533664,10224.73,25,-1.85,0.01,,5.644,0.749,1
BD+153012,247.8298992,14.86280773,9739.66,66,-20.116,0.003,,3.257,0.496,1
CD-251745,62.20068574,-24.78540591,10227.78,39,45.458,0.005,,5.415,0.713,1
CD-3018265,313.7787531,-29.78147897,10224.56,27,70.001,0.005,,7.218,0.981,1
CD-331236,52.11918849,-32.75506445,10224.77,26,-7.920,0.005,,6.679,0.917,1
CD-339045,201.7033206,-33.867318,10143.50,16,-22.026,0.008,,4.688,0.577,1
CD-371312,52.3537262,-37.01171468,10225.82,38,71.490,0.004,,3.949,0.477,1
CD-3913785,306.3828923,-39.52848545,10227.59,38,12.734,0.004,,4.16,0.573,1
CD-431047,50.60228795,-43.52620726,10224.80,32,14.204,0.005,,4.716,0.745,1
CD-452254,89.59204224,-45.21531653,10226.73,39,33.814,0.004,,4.204,0.522,1
CD-5012869,303.491947,-50.46594092,10227.57,38,-24.084,0.004,,9.626,1.085,1
CD-5112230,296.5969745,-51.3210936,10143.80,39,-22.126,0.004,,5.627,0.674,1
CD-662575,341.0176279,-66.22577544,10225.69,40,11.258,0.004,,4.612,0.625,1
HD11664,28.46144149,-30.30220704,10226.79,44,8.546,0.004,,2.813,0.449,1
HD118601,204.6691771,-41.61977304,9738.71,62,7.346,0.004,,5.307,0.478,1
HD120,1.495564737,-54.64060105,10227.71,37,15.444,0.005,,4.638,0.626,1
HD155046,257.2701949,4.614927817,9738.78,61,-79.815,0.004,,4.55,0.782,1
HD18416,44.10051598,-36.01588597,10224.78,26,21.523,0.006,,5.646,0.857,1
HD190896,302.1364579,-36.28011249,10224.51,27,-13.475,0.005,,4.331,0.519,1
HD196248,309.1077658,-9.854068329,10224.55,32,14.323,0.006,,3.789,0.552,1
HD197254,310.7204981,-12.00424058,10225.66,31,23.246,0.006,,3.88,0.608,1
HD197579,311.2372196,-11.03077031,10226.54,43,16.044,0.004,,4.114,0.668,1
HD2009,6.034856949,-39.67805869,10226.59,40,22.728,0.004,,3.185,0.429,1
HD201846,318.1726994,-15.84842595,10224.58,27,-13.885,0.007,,5.559,0.985,1
HD20186,48.51751724,-17.86618972,10225.81,39,29.116,0.004,,3.364,0.492,1
HD204649,322.8544577,-45.53316292,10224.59,34,60.328,0.005,,3.696,0.556,1
HD210070,332.2556172,-49.88669176,10225.67,33,26.598,0.005,,6.199,0.777,1
HD219470,349.0984421,-45.87553232,10225.76,39,-17.98,0.01,,4.383,0.508,1
HD219775,349.723997,-46.16260375,10226.58,37,38.476,0.004,,4.085,0.521,1
HD22176,53.04126958,-50.81959333,10224.81,33,9.716,0.006,,4.317,0.71,1
HD222051,354.354174,-14.21668557,10226.76,42,24.118,0.004,,5.253,0.734,1
HD223619,357.7893961,-1.936202429,10226.77,40,8.144,0.004,,5.082,0.67,1
HD23213,55.5351059,-33.60381999,10227.84,34,4.784,0.005,,8.085,1.122,1
HD270913,74.2078823,-71.61632867,10227.87,33,53.417,0.004,,4.752,0.844,1
HD274522,81.95682234,-43.98682494,10226.70,35,-4.768,0.005,,6.486,0.843,1
HD43375,92.74819622,-65.40678463,10226.74,38,19.101,0.004,,4.57,0.536,1
HD4952,12.90132262,8.314075663,10224.68,30,-1.634,0.009,,4.248,0.616,1
HD7039,17.53380449,-44.0768082,10225.80,35,7.161,0.004,,5.945,0.905,1
HD71562,126.9807163,-6.033223701,10226.87,40,2.869,0.004,,2.914,0.47,1
HD84804,146.7789629,-25.24943481,9739.50,62,19.929,0.003,,4.201,0.516,1
HD9567,23.14978904,-54.7423457,10224.72,27,-6.356,0.007,,6.408,0.888,1
TYC8519-263-1,84.87068971,-53.09931995,10226.71,38,28.380,0.004,,3.865,0.476,1
HD102805,177.4950268,-57.53697048,8651.54,44,-11.575,0.004,0.77,0.924,0.087,2
,,,9673.64,61,-11.058,0.003,,,,
,,,9737.53,61,-11.015,0.003,,,,
,,,10142.53,36,-10.802,0.004,,,,
HD170105,277.5825923,-49.66733699,8651.66,45,30.608,0.004,1.7,0.897,0.098,2
,,,9673.86,61,31.675,0.003,,,,
,,,9737.81,62,31.736,0.003,,,,
,,,10140.65,45,32.271,0.004,,,,
HD99891,172.2826621,-56.83954899,8651.50,45,-14.337,0.004,0.14,1.352,0.167,2
,,,9673.62,60,-14.473,0.003,,,,
,,,9737.50,32,-14.449,0.003,,,,
,,,10142.51,61,-14.481,0.005,,,,
HD202704,319.8510935,-49.39847916,8650.84,56,3.234,0.004,0.12,1.027,0.141,2
,,,9737.89,60,3.160,0.004,,,,
,,,10140.63,39,3.110,0.005,,,,
HD4145,10.95868937,-12.01182635,9537.53,61,-8.590,0.003,0.31,0.993,0.2,2
,,,9739.94,37,-8.495,0.003,,,,
,,,10140.85,61,-8.284,0.004,,,,
CD-529252,297.2862486,-52.07867029,10143.81,36,-69.357,0.005,0.055,2.403,0.258,2
,,,10227.50,31,-69.302,0.005,,,,
CD-581114,79.00863518,-58.5079562,10225.87,35,67.847,0.004,0.017,1.403,0.162,2
,,,10227.76,35,67.864,0.004,,,,
HD100409,173.1946938,-52.14571391,9738.62,62,2.197,0.003,0.011,1.724,0.298,2
,,,10142.52,36,2.209,0.005,,,,
HD10268,24.92289597,-37.47341448,9537.62,37,-11.248,0.003,0.0086,1.719,0.276,2
,,,10140.87,69,-11.257,0.004,,,,
HD115541,199.4847488,-14.07184042,9738.68,58,-5.578,0.004,0.015,2.871,0.344,2
,,,10142.55,39,-5.563,0.005,,,,
HD185544,296.7674098,-74.91021607,9739.79,43,12.965,0.003,0.0034,2.237,0.279,2
,,,10140.75,61,12.969,0.004,,,,
HD22792,54.6013671,-37.27240579,9537.65,60,24.127,0.003,0.84,1.229,0.171,2
,,,10140.89,38,23.286,0.004,,,,
TYC8373-756-1,282.3097484,-46.50809265,10143.73,26,54.175,0.007,0.066,1.603,0.148,2
,,,10225.57,19,54.240,0.006,,,,
HD177668,287.253988,-57.2882697,10143.69,28,4.700,0.004,0.017,3.098,0.347,2
,287.253988,-57.2882697,10225.60,40,4.717,0.005,,3.098,0.347,2
BD-06908,66.73093186,-5.997249644,10227.81,35,7.919,0.004,,2.266,0.247,2
BD-09279,21.96250267,-8.789842879,10226.62,37,-3.376,0.004,,1.493,0.181,2
BD-14302,24.0163842,-13.5846593,10224.74,26,-40.780,0.006,,3.005,0.374,2
BD-15833,69.89379314,-15.70772154,10225.83,41,17.128,0.004,,1.819,0.203,2
BD+002249,124.4264993,-0.416074362,10226.85,36,-40.232,0.004,,1.863,0.27,2
BD+002251,124.4803229,0.3420648204,10226.86,38,-13.727,0.004,,2.98,0.376,2
BD+0696,11.16638184,6.903043449,10224.64,32,22.227,0.005,,1.566,0.178,2
BD+084680,322.2878736,8.815995284,10224.62,27,-59.605,0.005,,2.341,0.314,2
BD+09139,18.53531672,10.76148602,10227.72,36,-45.980,0.004,,1.894,0.211,2
BD+125070,1.718384032,12.83454821,10227.68,35,-20.460,0.005,,2.238,0.277,2
BD+16328,40.40795402,16.73600343,10227.74,36,-6.828,0.006,,1.597,0.178,2
CD-242335,66.54653426,-24.19939136,10227.80,40,32.556,0.006,,2.144,0.24,2
CD-2516784,1.36150524,-24.77790826,10227.69,37,-7.699,0.004,,1.924,0.221,2
CD-2613981,288.8574189,-25.89883252,10225.62,32,-56.654,0.006,,2.386,0.26,2
CD-2718,2.375016114,-26.96265662,10225.76,37,-11.169,0.005,,1.896,0.224,2
CD-2816392,301.3870128,-28.10480969,10227.53,34,-14.939,0.004,,2.428,0.316,2
CD-3018710,323.9414346,-30.18830156,10224.60,29,7.173,0.005,,1.738,0.201,2
CD-361284,51.23095297,-36.21139954,10227.83,36,14.723,0.005,,2.119,0.289,2
CD-3613943,302.8165186,-36.36561804,10227.55,35,-31.937,0.004,,1.898,0.236,2
CD-66436,102.8824492,-67.12394059,10226.83,40,84.653,0.005,,2.119,0.287,2
CD-79305,120.1783688,-79.86074322,10226.84,35,17.730,0.006,,2.945,0.388,2
CD-81204,93.45186492,-81.2896521,10226.80,36,5.258,0.005,,2.334,0.3,2
CPD-5011378,307.7883072,-50.1328283,10227.61,40,-45.511,0.004,,2.444,0.275,2
HD120301,207.233039,-17.46686123,10143.55,14,6.092,0.009,,2.027,0.22,2
HD148035,246.3301496,1.218724123,9738.73,60,-17.624,0.004,,2.626,0.341,2
HD151220,251.486148,2.777028791,10143.60,34,-43.220,0.004,,1.797,0.185,2
HD194898,307.3401634,-34.11131051,10224.49,24,-38.629,0.006,,1.648,0.237,2
HD195899,308.6788148,-21.43544593,10227.63,40,-30.225,0.004,,2.16,0.222,2
HD196997,310.3826047,-20.81182212,10227.64,38,8.852,0.004,,2.408,0.318,2
HD199554,314.8757082,-43.95278294,10224.54,33,78.719,0.004,,2.31,0.312,2
HD206757,326.3482436,-41.98394317,10224.63,33,-91.930,0.005,,2.051,0.288,2
HD215767,341.961286,-24.12161321,10225.72,39,7.443,0.004,,1.882,0.216,2
HD217365,345.2433156,-54.21746855,10225.74,37,46.883,0.004,,1.782,0.205,2
HD218120,346.3979087,-14.39810472,10225.75,35,-30.497,0.005,,2.317,0.319,2
HD221059,352.1916808,11.51228062,10227.65,39,5.374,0.004,,1.679,0.241,2
HD221897,354.1203946,-64.08715228,10226.60,37,-7.998,0.004,,1.413,0.144,2
HD221921,354.353634,-78.1542499,10224.64,25,-7.296,0.006,,2.182,0.222,2
HD224485,359.6003417,-43.93294228,10226.78,41,-2.973,0.005,,2.193,0.32,2
HD25872,61.21592716,-28.92252073,10227.85,34,49.463,0.004,,2.401,0.238,2
HD34246,78.34905446,-48.49372929,10225.86,37,8.675,0.005,,1.959,0.234,2
HD45616,95.79458646,-67.00535212,10226.81,39,39.030,0.004,,1.796,0.258,2
HD7381,18.35066359,-32.82086005,10224.79,29,-22.706,0.005,,2.176,0.279,2
HD74993,131.6114514,-26.62772172,9738.50,61,5.741,0.003,,1.589,0.255,2
TYC1172-588-1,354.6477114,11.84314467,10227.66,34,-12.653,0.005,,1.811,0.191,2
CD-397574,184.9359372,-40.40473564,8650.60,52,6.018,0.004,,0.984,0.08,3
HD107045,184.6541581,-39.41840162,8650.57,59,-11.651,0.003,0.014,0.975,0.118,3
,,,9673.68,60,-11.653,0.003,,,,
,,,9737.64,61,-11.639,0.003,,,,
HD114430,197.6324798,-10.8146452,8651.58,41,-15.857,0.004,0.015,0.966,0.123,3
,,,9673.72,60,-15.854,0.004,,,,
,,,9737.63,60,-15.842,0.003,,,,
HD116845,201.6817999,-22.29821258,8649.54,67,-6.378,0.004,0.012,0.924,0.098,3
,,,9673.74,60,-6.380,0.004,,,,
,,,9737.69,60,-6.368,0.004,,,,
HD120144,207.1655526,-46.97371719,8650.65,65,-0.653,0.003,0.053,1.373,0.19,3
,,,9673.76,63,-0.639,0.003,,,,
,,,9737.70,63,-0.599,0.003,,,,
HD122568,210.9117723,-39.26822815,8651.61,40,17.947,0.004,0.018,1.253,0.111,3
,,,9673.78,61,17.929,0.003,,,,
,,,9737.72,61,17.940,0.003,,,,
HD124461,213.5484817,-17.46347112,8650.67,69,-40.668,0.003,0.012,1.097,0.139,3
,,,9673.79,61,-40.676,0.003,,,,
,,,9739.61,60,-40.664,0.003,,,,
HD149649,250.3458956,-68.75966514,8651.64,36,7.936,0.005,0.046,0.954,0.107,3
,,,9673.82,61,7.982,0.004,,,,
,,,9737.76,61,7.974,0.004,,,,
HD157527,261.175118,-21.44148279,9673.85,62,-52.481,0.003,0.072,0.724,0.208,3
,,,9737.77,44,-52.457,0.003,,,,
,,,10140.65,62,-52.529,0.004,,,,
HD162157,268.9637311,-70.53123748,8651.68,41,-21.039,0.004,0.0013,0.966,0.105,3
,,,9673.84,61,-21.038,0.003,,,,
,,,9737.78,61,-21.039,0.003,,,,
HD168839,275.9031262,-38.85346775,8650.89,55,14.440,0.003,0.022,0.828,0.081,3
,,,9673.87,68,14.418,0.003,,,,
,,,9737.80,62,14.436,0.003,,,,
HD171864,279.8145892,-46.48607313,8650.70,71,-17.281,0.003,0.015,1.041,0.125,3
,,,9673.87,63,-17.296,0.003,,,,
,,,9737.82,61,-17.280,0.003,,,,
HD191716,303.8376531,-64.81944286,8650.80,68,-7.836,0.003,0.026,1.02,0.12,3
,,,9673.88,62,-7.843,0.003,,,,
,,,9737.85,61,-7.817,0.003,,,,
HD193407,305.6601328,-54.26370189,8651.73,41,-21.182,0.004,0.061,1.013,0.121,3
,,,9737.87,41,-21.243,0.003,,,,
,,,10140.74,61,-21.209,0.004,,,,
HD195189,307.9958494,-50.18498133,8650.72,62,-24.592,0.003,0.012,0.966,0.127,3
,,,9737.88,42,-24.604,0.003,,,,
,,,10140.75,60,-24.592,0.004,,,,
HD197790,312.1285606,-57.70582521,8650.89,58,-16.329,0.004,0.040,1.033,0.126,3
,,,9737.88,60,-16.345,0.003,,,,
,,,10140.77,44,-16.369,0.004,,,,
HD4737,12.23636469,-46.69764537,8650.90,58,12.501,0.004,0.038,1.093,0.159,3
,,,9737.92,60,12.463,0.004,,,,
,,,10140.85,38,12.473,0.005,,,,
HD96627,166.9657077,-0.963894535,8651.47,51,3.203,0.004,0.023,1.259,0.157,3
,,,9673.60,61,3.193,0.003,,,,
,,,9737.47,60,3.216,0.003,,,,
HD102216,176.4433428,-31.97902864,9673.70,61,17.875,0.003,0.028,1.027,0.092,3
,,,9737.56,61,17.902,0.003,,,,
HD116948,202.089619,-59.53246153,8651.56,44,-18.511,0.004,0.013,0.878,0.107,3
,,,9673.75,61,-18.498,0.003,,,,
HD119483,206.0618181,-36.55947878,9673.76,62,11.776,0.003,0.0033,1.207,0.146,3
,,,9737.71,62,11.779,0.003,,,,
HD136350,230.4662226,-44.72395297,9673.81,60,-6.101,0.003,0.010,0.998,0.088,3
,,,9737.75,60,-6.111,0.003,,,,
HD162984,269.0132861,-44.71487972,9673.85,61,-10.015,0.003,0.0047,0.945,0.113,3
,,,9737.80,60,-10.010,0.003,,,,
HD16665,40.16910827,15.68659395,9538.60,35,11.079,0.003,0.025,1.154,0.153,3
,,,10140.91,61,11.104,0.004,,,,
HD167768,274.2212542,-3.007402014,8650.81,53,1.622,0.005,0.0014,0.872,0.177,3
,,,9673.89,61,1.624,0.005,,,,
HD176771,286.5008607,-63.01471719,9673.88,61,-10.194,0.004,0.018,1.003,0.161,3
,,,9737.82,60,-10.212,0.004,,,,
HD188476,299.1852155,-37.10656034,8650.83,58,-22.687,0.003,0.0036,0.987,0.108,3
,,,9737.84,62,-22.690,0.003,,,,
HD189365,300.1495841,-28.58643998,8650.84,54,21.509,0.004,0.065,0.96,0.114,3
,,,9737.84,60,21.574,0.004,,,,
HD192232,303.616112,-18.09392064,9538.52,59,-2.543,0.004,0.031,0.986,0.152,3
,,,9739.74,53,-2.573,0.003,,,,
HD193937,306.0384268,-34.47484248,9538.54,60,-22.422,0.004,0.011,1.354,0.157,3
,,,9739.81,47,-22.433,0.003,,,,
HD195980,308.9144322,-34.12865329,9739.92,38,-32.273,0.003,0.085,1.193,0.17,3
,,,10140.60,64,-32.188,0.004,,,,
HD203086,320.2211997,-30.95529301,9737.85,61,-19.470,0.004,0.011,1.044,0.132,3
,,,8650.74,61,-19.481,0.003,,,,
HD207920,328.1873233,-3.992023877,8650.82,64,9.016,0.003,0.0082,0.937,0.115,3
,,,9737.90,61,9.008,0.004,,,,
HD209154,330.3869161,-15.61202175,8650.78,58,6.350,0.004,0.0065,0.997,0.128,3
,,,9737.90,59,6.343,0.004,,,,
HD213986,338.9015657,-23.99109413,9539.52,62,-1.971,0.003,0.0037,0.914,0.182,3
,,,9739.91,59,-1.975,0.003,,,,
HD219263,348.7442495,-41.10539456,9538.57,65,3.437,0.003,0.0052,1.212,0.321,3
