Star,JD-2450000,S/N,RV(km/s),RV_error(km/s),Max_ΔRV(km/s),RUWE,AEN,Category
HD177057,10143.77,14,6.853,0.009,6.3,7.308,1.081,1
,10225.59,29,0.573,0.005,,,,
HD181405,10143.75,32,-36.085,0.008,2.7,3.312,0.416,1
,10225.65,19,-38.752,0.005,,,,
HD182393,10226.50,40,-14.023,0.004,2.0,5.635,0.729,1
,10143.78,14,-16.055,0.009,,,,
HD18278,9537.59,76,21.402,0.003,0.38,5.464,1.036,1
,10140.90,37,21.781,0.004,,,,
HD183249,9738.89,56,-24.630,0.003,1.4,4.444,0.5,1
,10140.67,44,-26.000,0.004,,,,
HD185051,9739.71,62,-50.742,0.003,6.4,6.96,0.796,1
,10140.78,43,-44.309,0.004,,,,
HD185452,10143.79,34,2.827,0.004,7.9,4.55,0.484,1
,10226.53,38,10.766,0.004,,,,
HD185490,9739.68,38,-89.551,0.003,8.1,6.774,0.92,1
,10140.81,60,-97.615,0.005,,,,
HD186611,10143.68,41,24.232,0.006,2.3,6.336,0.959,1
,10226.51,33,21.905,0.005,,,,
HD188921,10143.83,20,-25.93,0.01,41.3,2.038,0.281,1
,10227.51,33,15.350,0.007,,,,
HD190122,9738.92,63,7.207,0.003,3.6,5.245,0.999,1
,10140.73,62,3.648,0.003,,,,
HD193359,9739.76,40,43.238,0.003,0.20,2.157,0.26,1
,10140.61,61,43.437,0.004,,,,
HD195326,9739.83,66,-45.899,0.003,13.0,2.887,0.458,1
,10140.73,38,-32.890,0.004,,,,
HD202714,9739.84,38,5.251,0.003,1.3,1.461,0.209,1
,10140.64,60,6.599,0.004,,,,
HD21340,9537.70,58,21.265,0.003,0.35,2.95,0.498,1
,10140.88,33,21.619,0.005,,,,
HD220864,9538.62,60,2.166,0.003,0.57,3.578,0.633,1
,10140.84,38,1.597,0.004,,,,
HD2259,9537.55,59,19.789,0.003,2.2,2.695,0.455,1
,10140.84,39,17.633,0.004,,,,
HD29821,9537.68,59,25.571,0.003,0.93,3.027,0.533,1
,10225.85,41,26.503,0.004,,,,
HD5676,9537.63,67,83.026,0.003,2.2,2.104,0.32,1
,10140.85,35,80.847,0.004,,,,
HD6019,9537.57,34,-23.732,0.004,0.54,3.323,0.646,1
