Star,RA(deg),DEC(deg),RUWE,AEN(mas),Solution_type
HD34465,80.32163959,59.17397425,8.014,1.453,Acceleration9
HD352788,309.881437,19.25393514,1.504,0.174,Acceleration7
HD38160,86.96722406,61.08392622,2.044,0.309,Acceleration7
HD45616,95.79476351,-67.00515273,1.796,0.258,Acceleration7
HD4749,12.33991807,-25.43987253,3.628,0.453,Acceleration7
HD502,2.379370393,19.55884548,2.807,0.398,Acceleration7
HD5369,13.54494792,-70.1173414,2.689,0.393,Acceleration7
HD5386,13.80856221,-43.04853333,2.564,0.363,Acceleration9
HD5676,14.55201503,-25.87658948,2.104,0.32,Acceleration9
HD6019,15.41499789,7.305293652,3.323,0.646,Acceleration7
HD73070,128.9354988,-19.06903226,2.452,0.265,Acceleration7
HD7381,18.35068644,-32.82098986,2.176,0.279,Acceleration7
HD81265,141.3726885,30.49240036,5.251,1.039,Acceleration7
HD81297,141.6048762,47.68101344,4.16,0.713,Acceleration7
HD83674,144.7784646,-39.52973271,2.651,0.475,Acceleration7
HD84577,146.7255335,27.15881371,1.43,0.216,Acceleration7
HD89189,154.2515969,-17.74044727,3.027,0.372,Acceleration7
HD97734,168.6555294,-9.906798092,3.154,0.628,Acceleration7
HD99005,170.895164,-3.289773715,3.129,0.491,Acceleration7
HD99330,171.4541341,1.872204879,5.288,0.701,Acceleration7
TYC1178-1245-1,0.4771244759,16.60769306,2.425,0.262,Acceleration7
TYC1553-1667-1,268.9034074,15.70583567,1.922,0.246,Acceleration7
TYC2031-110-1,231.0296687,28.23196855,2.19,0.269,Acceleration7
TYC2271-9-1,1.531659642,36.12671473,2.792,0.309,Acceleration9
TYC2964-1045-1,119.8980892,39.48919423,3.342,0.411,Acceleration7
TYC3109-366-1,277.8231211,40.46372874,4.337,0.552,Acceleration9
TYC3365-131-1,88.46838574,48.68418114,2.441,0.283,Acceleration7
TYC3880-1946-1,241.1057404,56.30111066,3.018,0.39,Acceleration9
TYC3880-352-1,240.6406371,56.98359542,4.954,0.631,Acceleration7
TYC4179-1310-1,217.5626629,65.09500388,1.542,0.191,Acceleration7
TYC4230-160-1,295.3864106,61.6464117,1.507,0.145,Acceleration7
TYC4515-1829-1,71.86085558,78.52457721,3.025,0.373,Acceleration7
TYC537-812-1,320.990262,4.175472279,4.397,0.519,Acceleration9
TYC5464-59-1,143.0490539,-10.84357905,5.437,0.894,Acceleration9
TYC783-107-1,117.3468194,11.06644268,2.726,0.332,Acceleration9
TYC9286-1620-1,247.2350954,-73.49787086,1.805,0.228,Acceleration7
CD-66436,102.8823752,-67.12389671,2.119,0.287,Acceleration7
CD-741575,357.8638482,-74.14558615,2.359,0.325,Acceleration9
CD-78972,321.7502521,-77.83745215,6.946,0.963,Acceleration9
HD102488,176.8989427,-29.8470246,2.148,0.261,Acceleration7
HD108047,186.2584164,-37.35540382,1.911,0.235,Acceleration7
HD109744,189.3024853,-20.07893273,2.985,0.473,Acceleration9
HD112521,194.4025899,-32.30044946,3.899,0.684,Acceleration9
HD118601,204.6690358,-41.61986527,5.307,0.478,Acceleration9
HD120651,207.5977573,21.27667633,3.573,0.697,Acceleration9
HD122043,209.9029282,-15.67017896,2.332,0.266,Acceleration7
